,XLK,XLF,XLE,XLV,XLY,XLP,XLU,XLI,XLB,XLRE,XLC
2025-01-03,,,,,,,,,,,
2025-01-06,,,,,,,,,,,
2025-01-07,,,,,,,,,,,
2025-01-08,,,,,,,,,,,
2025-01-10,,,,,,,,,,,
2025-01-13,,,,,,,,,,,
2025-01-14,,,,,,,,,,,
2025-01-15,,,,,,,,,,,
2025-01-16,,,,,,,,,,,
2025-01-17,,,,,,,,,,,
2025-01-21,,,,,,,,,,,
2025-01-22,,,,,,,,,,,
2025-01-23,,,,,,,,,,,
2025-01-24,,,,,,,,,,,
2025-01-27,,,,,,,,,,,
2025-01-28,,,,,,,,,,,
2025-01-29,,,,,,,,,,,
2025-01-30,,,,,,,,,,,
2025-01-31,,,,,,,,,,,
2025-02-03,,,,,,,,,,,
2025-02-04,,,,,,,,,,,
2025-02-05,,,,,,,,,,,
2025-02-06,,,,,,,,,,,
2025-02-07,,,,,,,,,,,
2025-02-10,,,,,,,,,,,
2025-02-11,,,,,,,,,,,
2025-02-12,,,,,,,,,,,
2025-02-13,,,,,,,,,,,
2025-02-14,,,,,,,,,,,
2025-02-18,,,,,,,,,,,
2025-02-19,,,,,,,,,,,
2025-02-20,,,,,,,,,,,
2025-02-21,,,,,,,,,,,
2025-02-24,,,,,,,,,,,
2025-02-25,,,,,,,,,,,
2025-02-26,,,,,,,,,,,
2025-02-27,,,,,,,,,,,
2025-02-28,,,,,,,,,,,
2025-03-03,,,,,,,,,,,
2025-03-04,,,,,,,,,,,
2025-03-05,,,,,,,,,,,
2025-03-06,,,,,,,,,,,
2025-03-07,,,,,,,,,,,
2025-03-10,,,,,,,,,,,
2025-03-11,,,,,,,,,,,
2025-03-12,,,,,,,,,,,
2025-03-13,,,,,,,,,,,
2025-03-14,,,,,,,,,,,
2025-03-17,,,,,,,,,,,
2025-03-18,,,,,,,,,,,
2025-03-19,,,,,,,,,,,
2025-03-20,,,,,,,,,,,
2025-03-21,,,,,,,,,,,
2025-03-24,,,,,,,,,,,
2025-03-25,,,,,,,,,,,
2025-03-26,,,,,,,,,,,
2025-03-27,,,,,,,,,,,
2025-03-28,,,,,,,,,,,
2025-03-31,,,,,,,,,,,
2025-04-01,,,,,,,,,,,
2025-04-02,,,,,,,,,,,
2025-04-03,,,,,,,,,,,
