source,target,lag_months,direction,coef_full,coef_recent,p_full,p_recent,stability,score
CPI,US2Y,3,+,,0.5216,1.0,0.00093,emerging,0.8492
CREDIT_SPREAD,DXY,2,-,,-0.439,1.0,0.00583,emerging,0.845
OIL,DXY,3,-,,-0.4263,1.0,0.00851,emerging,0.8428
US10Y,FED_FUNDS,1,-,,-0.4226,1.0,0.01143,emerging,0.8403
US10Y,CREDIT_SPREAD,3,+,,0.3834,1.0,0.01914,emerging,0.8337
US10Y,VIX,1,-,,-0.3873,1.0,0.01962,emerging,0.8333
FED_FUNDS,CREDIT_SPREAD,2,-,,-0.3831,1.0,0.02109,emerging,0.8321
CREDIT_SPREAD,OIL,4,+,,0.3626,1.0,0.02525,emerging,0.8285
CPI,US10Y,1,+,,0.3499,1.0,0.03129,emerging,0.8234
DXY,CREDIT_SPREAD,3,+,,0.3455,1.0,0.03364,emerging,0.8214
DXY,US2Y,2,-,,-0.3491,1.0,0.03691,emerging,0.8186
CREDIT_SPREAD,FED_FUNDS,1,+,,0.3459,1.0,0.0388,emerging,0.817
VIX,US2Y,3,+,,0.35,1.0,0.03932,emerging,0.8166
CPI,US2Y,6,+,,0.3422,1.0,0.04109,emerging,0.8151
OIL,US2Y,1,+,,0.3441,1.0,0.04294,emerging,0.8135
OIL,VIX,5,-,,-0.3341,1.0,0.04643,emerging,0.8105
DXY,FED_FUNDS,1,-,,-0.3312,1.0,0.04847,emerging,0.8088
CPI,FED_FUNDS,6,+,,0.33,1.0,0.04935,emerging,0.8081
FED_FUNDS,OIL,1,-,-0.2444,,0.00108,1.0,historical,0.1998
US10Y,FED_FUNDS,2,+,0.2384,,0.00135,1.0,historical,0.1997
VIX,CPI,4,+,0.232,,0.00201,1.0,historical,0.1996
FED_FUNDS,US2Y,1,-,-0.2172,,0.00398,1.0,historical,0.1992
VIX,FED_FUNDS,4,+,0.208,,0.0056,1.0,historical,0.1989
US10Y,OIL,3,-,-0.2056,,0.00577,1.0,historical,0.1988
US2Y,CREDIT_SPREAD,5,-,-0.188,,0.01245,1.0,historical,0.1975
DXY,OIL,6,-,-0.1791,,0.01614,1.0,historical,0.1968
VIX,US2Y,1,-,-0.18,,0.01652,1.0,historical,0.1967
US10Y,DXY,4,-,-0.1781,,0.01677,1.0,historical,0.1966
US2Y,FED_FUNDS,5,+,0.1782,,0.01861,1.0,historical,0.1963
US2Y,CREDIT_SPREAD,2,-,-0.1747,,0.0204,1.0,historical,0.1959
VIX,FED_FUNDS,1,-,-0.1703,,0.02427,1.0,historical,0.1951
OIL,CPI,4,-,-0.165,,0.02906,1.0,historical,0.1942
CPI,DXY,1,+,0.1645,,0.02914,1.0,historical,0.1942
US2Y,VIX,5,-,-0.1633,,0.03088,1.0,historical,0.1938
VIX,CREDIT_SPREAD,1,+,0.1615,,0.03125,1.0,historical,0.1938
FED_FUNDS,DXY,4,+,0.1551,,0.03921,1.0,historical,0.1922
CPI,DXY,3,+,0.1524,,0.04287,1.0,historical,0.1914
US2Y,FED_FUNDS,1,+,0.6627,0.692,0.0,0.0,structural,1.0
US2Y,FED_FUNDS,3,+,0.2705,0.5398,0.00029,0.00082,structural,0.9994
OIL,CPI,1,+,0.4349,0.4678,0.0,0.00351,structural,0.9977
FED_FUNDS,VIX,3,-,-0.1864,-0.4195,0.0135,0.01211,structural,0.9874
FED_FUNDS,CREDIT_SPREAD,1,+,0.2237,0.3593,0.00276,0.03141,structural,0.9786
