sector,macro,alpha,t_alpha,delta,t_delta,gamma,t_gamma,speed,t_speed,color,t_color,r2,r2_adj,n
XLK,DXY,0.0009363996406237451,0.9004655269282682,0.002794693201018986,2.6874475135233187,-0.0034644612431906055,-3.3315133662313,0.003766212550202267,3.621685038540526,0.0014844049015031776,1.427441216142078,0.12107959213100716,0.10661176648707316,248
XLK,US2Y,0.0009363996406237451,0.8803367248614444,-0.003366574971303721,-3.1650157215607932,-0.0032842974913887433,-3.087664253174969,0.00133988559796438,1.259665689550319,-0.0003613438088621419,-0.3397098967602825,0.08042725347786306,0.06529025353511186,248
XLK,US10Y,0.0009363996406237451,0.8820318609613693,-0.0039344904668607225,-3.706052200221157,0.00028879209582555513,0.2720246982818945,0.0030884206995252118,2.9091056199245195,9.903080092288179e-06,0.009328102857057995,0.08395842538774934,0.06887955173158067,248
XLK,VIX,0.0009363996406237451,1.6623071681782884,0.01459489622425898,25.90902383969661,-0.0007175440394226072,-1.273792244752768,0.001343940921132211,2.3857790305409443,-0.002557487436098026,-4.540080445481387,0.7420941605103428,0.7378487968973444,248
XLF,DXY,0.0005996254585696351,0.8322125986938316,0.0013505705430910675,1.874439794578254,-0.003447261696172252,-4.784410957787999,0.0017233123893953728,2.3917634941002914,0.001594547664558209,2.21305255922362,0.13221180600821703,0.11792722668324951,248
XLF,US2Y,0.0005996254585696351,0.7978754315679019,-0.001571944283032997,-2.0916652308550967,-0.001140206521538996,-1.5171850318356914,0.001666312068946338,2.2172331780388648,-0.0012571941843732709,-1.6728515076966026,0.055912766059370234,0.04037223545952451,248
XLF,US10Y,0.0005996254585696351,0.7975148373525026,-0.0013408330362092418,-1.7833369572734603,0.0006147807111580778,0.8176716512942257,0.0024139632952274253,3.2106234270982674,3.267464320630539e-05,0.04345798262867039,0.055058839982400465,0.03950425298622606,248
XLF,VIX,0.0005996254585696351,1.3378672441293589,0.009750385836578817,21.75478315997276,0.0010153204590227088,2.2653540889693904,-0.00042410028413187824,-0.946240474377895,-0.0005280211636015525,-1.178105780689679,0.6642188839372796,0.6586916227675228,248
XLE,DXY,0.00028157699396508034,0.30258921248723525,0.002353563930013544,2.529194754488643,-0.004273742522645301,-4.592663505956834,0.003295002303270735,3.540886412808161,-0.00031603520516536613,-0.3396188108361203,0.1417752096212469,0.1276480525779753,248
XLE,US2Y,0.00028157699396508034,0.2862375546213991,-0.0027078002853217647,-2.752618817181313,-0.001022151752767799,-1.0390700392252779,0.0012174500659421742,1.2376008595083086,-0.00041695006087122757,-0.4238512676139462,0.0409202720321733,0.02513295140718852,248
XLE,US10Y,0.00028157699396508034,0.29001048620000663,-0.0033623756831689406,-3.4630819547133664,0.0010586367952050157,1.090343949494319,0.0017238874558213105,1.7755194846594298,-0.0008447519319613264,-0.8700530361400239,0.06571250817714702,0.05033329020475441,248
