sector,horizon,signal,b,t_b,r2,n
XLK,1,IV_spread,0.02065083211187835,0.935093077142971,0.0030586826445000437,287
XLK,5,IV_spread,0.03559455135380959,0.7799993507665,0.0021604433297597314,283
XLK,21,IV_spread,0.23402907152684274,2.4517594216255367,0.022180359857585596,267
XLF,1,IV_spread,-0.062172950429537424,-1.694299644324591,0.009972017890489404,287
XLF,5,IV_spread,-0.291741498689681,-4.384465250319291,0.06403074128495834,283
XLF,21,IV_spread,-0.9129067807526448,-6.934565739055517,0.1535931462244262,267
XLE,1,IV_spread,0.008548575823698492,0.42372971664486736,0.0006295923909575007,287
XLE,5,IV_spread,0.053034455396513275,1.2937445676236723,0.005921224939309244,283
XLE,21,IV_spread,0.2877306642314799,4.087357745607385,0.05930460864591758,267
XLV,1,IV_spread,-0.01311596903128098,-0.9647461088469435,0.003255106710923439,287
XLV,5,IV_spread,6.468408105022043e-05,0.002418656205258164,2.081814087784295e-08,283
XLV,21,IV_spread,0.2607204243142995,5.87384690921393,0.11519812416459141,267
XLY,1,IV_spread,0.003239472408076359,0.06148810581577708,1.3265743866175406e-05,287
XLY,5,IV_spread,-0.020211955261278673,-0.20211771211186794,0.000145358119010508,283
XLY,21,IV_spread,-0.09363822673558032,-0.4892308139085001,0.0009023804053763795,267
XLP,1,IV_spread,-0.0191985398446024,-1.590149822550141,0.008794174441037583,287
XLP,5,IV_spread,-0.057016805782952366,-2.1747486594673218,0.016552477803706167,283
XLP,21,IV_spread,0.060962617630959705,1.0914427364180748,0.004475155585318746,267
XLU,1,IV_spread,-0.03131020310674047,-2.020005254302242,0.014115176704404875,287
XLU,5,IV_spread,-0.09546784042777025,-3.066033684384713,0.03237102046605289,283
XLU,21,IV_spread,0.017044061651130083,0.26256478728406707,0.0002600842914751711,267
XLI,1,IV_spread,-0.05413726470803989,-1.6901373914249278,0.00992356873232314,287
XLI,5,IV_spread,-0.21370252431664247,-3.485588435978372,0.04144415707832505,283
XLI,21,IV_spread,-0.9112788656819829,-6.0097295965986985,0.11994297179090496,267
XLB,1,IV_spread,-0.06838611315131853,-1.5825039791050795,0.008710543389239822,287
XLB,5,IV_spread,-0.34697138905181935,-4.102578395986082,0.0565123880552405,283
XLB,21,IV_spread,-1.1678446474862896,-7.219655130220211,0.164363200190497,267
XLRE,1,IV_spread,-0.02763726376746171,-1.550982657917136,0.008369870479370434,287
XLRE,5,IV_spread,-0.09646398005267916,-2.768568399017229,0.026553173230592253,283
XLRE,21,IV_spread,-0.21412520202067406,-3.5716537069581586,0.045927640031201644,267
XLC,1,IV_spread,0.0034243054872107387,0.11770530371365916,4.861005281553421e-05,287
XLC,5,IV_spread,0.09138348266970556,1.5714138181011517,0.008711140949602014,283
XLC,21,IV_spread,0.02195050120599792,0.19707638051813756,0.0001465411631368374,267
