sector,horizon,signal,b,t_b,r2,n
XLK,1,VRP,0.0034031623128612278,0.3782959901300931,0.0005018808177564837,287
XLK,5,VRP,-0.036383022309253686,-1.9723086242779546,0.013654397456990486,283
XLK,21,VRP,-0.11077419785736924,-2.8735703325362,0.030218417729734992,267
XLF,1,VRP,0.0013913230374041478,0.14632429104093433,7.511996410625166e-05,287
XLF,5,VRP,-0.0301737010391177,-1.7155128804232236,0.010364702085076116,283
XLF,21,VRP,-0.08593199918096914,-2.331253766408233,0.0200963235733973,267
XLE,1,VRP,0.010265812710028712,0.8686703801119273,0.002640686310444562,287
XLE,5,VRP,-0.019989748995850168,-0.8380554689379458,0.0024931882943308725,283
XLE,21,VRP,-0.11255916805938998,-2.7453823780323066,0.027655404445024012,267
XLV,1,VRP,0.016281391548312648,1.2273368417589845,0.00525766948288775,287
XLV,5,VRP,0.07189272379717962,2.7911222243053144,0.026975842208766143,283
XLV,21,VRP,0.1767502387260447,3.945689008847626,0.05548899422687492,267
XLY,1,VRP,0.0005501647619661734,0.05561640574713436,1.0853161464541294e-05,287
XLY,5,VRP,-0.054843124228657475,-2.96723101024212,0.03038069142258315,283
XLY,21,VRP,-0.21734611954069108,-6.465807718185766,0.13626388736494321,267
XLP,1,VRP,-0.004256976639483537,-0.2390883594520202,0.00020053256327623448,287
XLP,5,VRP,0.010609255735805958,0.2743973902507549,0.00026787814298523394,283
XLP,21,VRP,0.06538588501453388,0.8075986739707516,0.0024551484228412246,267
XLU,1,VRP,-0.006721560020308611,-0.36329877669341,0.00046289440549274197,287
XLU,5,VRP,-0.003757175519788741,-0.10083301012686718,3.6181238668664406e-05,283
XLU,21,VRP,-0.033753497716648075,-0.4488284599258722,0.0007595998767296885,267
XLI,1,VRP,-0.002095325805317217,-0.22197515045371066,0.00017285772002129107,287
XLI,5,VRP,-0.057222795264156856,-3.333246010366454,0.03803535944071135,283
XLI,21,VRP,-0.24709198673991417,-7.250720086508087,0.16554603638268628,267
XLB,1,VRP,0.002332648018078871,0.21511778307203913,0.00016234437894935283,287
XLB,5,VRP,-0.016024082126050145,-0.7464299972731822,0.0019788441725292483,283
XLB,21,VRP,-0.07132595509492147,-1.6588314241945379,0.010277139121597001,267
XLRE,1,VRP,-0.01807770709067207,-1.335877981625911,0.006222684790559985,287
XLRE,5,VRP,-0.06227299546159754,-2.353658181314285,0.0193331210381531,283
XLRE,21,VRP,0.05574135104052141,1.214911957063637,0.005539001644185304,267
XLC,1,VRP,0.0037771993316657836,0.4075514260129942,0.0005824611197265961,287
XLC,5,VRP,-0.04150414865093061,-2.248779964108321,0.017678333782193856,283
XLC,21,VRP,-0.1779972797394658,-5.269198843144851,0.09483547554029559,267
