,XLK,XLF,XLE,XLV,XLY,XLP,XLU,XLI,XLB,XLRE,XLC
XLK,1.0,0.5555555555555555,0.5555555555555555,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.611111111111111,0.5555555555555555,0.3888888888888889,0.7222222222222221
XLF,0.5555555555555555,1.0,0.5,0.5,0.7222222222222221,0.27777777777777773,0.3333333333333333,0.6666666666666666,0.5,0.5555555555555555,0.6666666666666666
XLE,0.5555555555555555,0.5,1.0,0.3888888888888889,0.5555555555555555,0.2222222222222222,0.2222222222222222,0.5555555555555555,0.5,0.3888888888888889,0.5555555555555555
XLV,0.3333333333333333,0.5,0.3888888888888889,1.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,0.3888888888888889,0.3888888888888889
XLY,0.6666666666666666,0.7222222222222221,0.5555555555555555,0.4444444444444444,1.0,0.2222222222222222,0.27777777777777773,0.7249999999999973,0.5555555555555555,0.5555555555555555,0.7777777777777778
XLP,0.16666666666666666,0.27777777777777773,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.0,0.2222222222222222,0.27777777777777773,0.4444444444444444,0.4444444444444444,0.2222222222222222
XLU,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.27777777777777773,0.2222222222222222,1.0,0.3888888888888889,0.27777777777777773,0.5555555555555555,0.27777777777777773
XLI,0.611111111111111,0.6666666666666666,0.5555555555555555,0.5,0.7249999999999973,0.27777777777777773,0.3888888888888889,1.0,0.611111111111111,0.4444444444444444,0.7222222222222221
XLB,0.5555555555555555,0.5,0.5,0.4444444444444444,0.5555555555555555,0.4444444444444444,0.27777777777777773,0.611111111111111,1.0,0.5555555555555555,0.5555555555555555
XLRE,0.3888888888888889,0.5555555555555555,0.3888888888888889,0.3888888888888889,0.5555555555555555,0.4444444444444444,0.5555555555555555,0.4444444444444444,0.5555555555555555,1.0,0.5
XLC,0.7222222222222221,0.6666666666666666,0.5555555555555555,0.3888888888888889,0.7777777777777778,0.2222222222222222,0.27777777777777773,0.7222222222222221,0.5555555555555555,0.5,1.0
